Timestamp,Source IP,Destination IP,Source Port,Destination Port,TTL,Protocol,Flags,Length,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std
1711787012.873304,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,1.8116188049316406,32,0,4626,0,957,54,140.1818181818182,0.17052178590640127
1711787012.873359,192.168.246.147,13.107.6.158,53532,443,128,6,DF,132,1.811673879623413,33,0,4758,0,957,54,139.94117647058823,0.06016042780748661
1711787012.904632,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.8208880424499512,38,0,10991,0,1434,54,281.8205128205128,4.218898385565052
1711787012.904696,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.8209519386291504,39,0,11045,0,1434,54,276.125,4.113425925925926
1711787013.00766,13.107.6.158,192.168.246.147,443,53532,115,6,DF,357,1.9239158630371094,40,0,11402,0,1434,54,278.0975609756098,0.22101523536243758
1711787013.007742,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,1.9239978790283203,41,0,11494,0,1434,54,273.6666666666667,1.9746376811594204
1711787013.007759,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,1.9460740089416504,34,0,4812,0,957,54,137.4857142857143,1.546031746031746
1711787013.021983,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,1.9602978229522705,35,0,4981,0,957,54,138.36111111111111,0.18129520052596973
1711787013.022046,192.168.246.147,13.107.6.158,53532,443,128,6,DF,133,1.9603610038757324,36,0,5114,0,957,54,138.21621621621622,0.03921967079861823
1711787013.05058,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.9668359756469727,42,0,11548,0,1434,54,268.5581395348837,3.973298880275624
1711787013.050649,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,1.966904878616333,43,0,11602,0,1434,54,263.6818181818182,3.8829966329966332
1711787013.149606,13.107.6.158,192.168.246.147,443,53532,115,6,DF,356,2.065861940383911,44,0,11958,0,1434,54,265.73333333333335,0.2535580524344569
1711787013.149684,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,2.0659399032592773,45,0,12050,0,1434,54,261.95652173913044,1.8473534971644612
1711787013.149702,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,2.088016986846924,37,0,5168,0,957,54,136.0,1.5185185185185186
1711787013.215358,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,2.153672933578491,38,0,5337,0,957,54,136.84615384615384,0.19025944469731457
1711787013.215429,192.168.246.147,13.107.6.158,53532,443,128,6,DF,135,2.1537439823150635,39,0,5472,0,957,54,136.8,0.013333333333333417
1711787013.241538,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.1577939987182617,46,0,12104,0,1434,54,257.531914893617,3.7691095350669817
1711787013.250643,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.1668989658355713,47,0,12158,0,1434,54,253.29166666666666,3.690586419753086
1711787013.347586,13.107.6.158,192.168.246.147,443,53532,115,6,DF,357,2.2638418674468994,48,0,12515,0,1434,54,255.40816326530611,0.2845709712456411
1711787013.347655,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,2.263911008834839,49,0,12607,0,1434,54,252.14,1.7406521739130434
1711787013.347671,192.168.246.147,13.107.6.158,53532,443,128,6,DF,54,2.2859859466552734,40,0,5526,0,957,54,134.78048780487805,1.4959349593495934
1711787013.557495,192.168.246.147,108.159.46.116,53487,443,128,6,DF,55,0.0,1,0,55,0,55,55,27.5,0
1711787013.663575,108.159.46.116,192.168.246.147,443,53487,249,6,,66,0.0,1,0,66,0,66,66,33.0,0
1711787013.675891,192.168.246.147,13.107.6.158,53532,443,128,6,DF,169,2.614205837249756,41,0,5695,0,957,54,135.5952380952381,0.19766131304592838
1711787013.67594,192.168.246.147,13.107.6.158,53532,443,128,6,DF,137,2.614254951477051,42,0,5832,0,957,54,135.62790697674419,0.010015277542013245
1711787013.696554,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.612809896469116,50,0,12661,0,1434,54,248.2549019607843,3.5973129992737833
1711787013.712565,13.107.6.158,192.168.246.147,443,53532,115,6,DF,54,2.6288208961486816,51,0,12715,0,1434,54,244.51923076923077,3.528133903133903
1711787013.760926,192.168.246.147,20.205.115.81,53488,443,128,6,DF,55,0.0,1,0,55,0,55,55,27.5,0
1711787013.827586,13.107.6.158,192.168.246.147,443,53532,115,6,DF,356,2.7438418865203857,52,0,13071,0,1434,54,246.62264150943398,0.3072397710409158
1711787013.827666,13.107.6.158,192.168.246.147,443,53532,115,6,DF,92,2.743921995162964,53,0,13163,0,1434,54,243.75925925925927,1.6495571658615138
